Time,Voltage,Total PDP
14:21.9,11.08,47.06
14:21.9,10.99,47.06
14:21.9,11.41,47.06
14:21.9,11.38,47.06
14:21.9,11.52,47.5
14:22.0,11.53,47.5
14:22.0,11.38,47.5
14:22.0,11.29,47.5
14:22.0,11.38,50.25
14:22.0,11.25,50.25
14:22.1,11.28,50.25
14:22.1,11.25,50.25
14:22.1,11.48,44.75
14:22.1,11.61,44.75
14:22.1,11.16,40
14:22.2,11.19,40
14:22.2,11.33,40
14:22.2,11.27,40
14:22.2,11.31,58.81
14:22.2,11.31,58.81
14:22.3,11.34,58.81
14:22.3,11.29,58.81
14:22.3,11.1,39
14:22.3,10.91,39
14:22.3,11.14,39
14:22.4,11.15,39
14:22.4,11.02,39
14:22.4,11.07,50.94
14:22.4,11.06,50.94
14:22.4,11.02,50.94
14:22.5,10.87,50.94
14:22.5,10.91,61.19
14:22.5,11.04,61.19
14:22.5,10.73,61.19
14:22.5,11.37,61.19
14:22.6,11.3,64.31
14:22.6,11.58,64.31
14:22.6,11.75,64.31
14:22.6,11.56,64.31
14:22.6,11.36,32.06
14:22.7,11.31,32.06
14:22.7,11.43,32.06
14:22.7,11.05,32.06
14:22.7,10.85,43.63
14:22.7,10.74,43.63
14:22.8,11.11,43.63
14:22.8,11.11,43.63
14:22.8,11.06,43.63
14:22.8,10.61,50.13
14:22.8,9.72,50.13
14:22.9,10.57,50.13
14:22.9,11,50.13
14:22.9,11.11,60.06
14:22.9,10.83,60.06
14:22.9,10.33,60.06
14:23.0,10.61,60.06
14:23.0,10.93,69.81
14:23.0,11.13,69.81
14:23.0,11.13,69.81
14:23.0,11.2,69.81
14:23.1,11.45,100.88
14:23.1,11.37,100.88
14:23.1,11.62,98.88
14:23.1,11.66,98.88
14:23.1,11.8,53.38
14:23.2,12.11,53.38
14:23.2,11.83,30.69
14:23.2,11.88,30.69
14:23.2,11.82,30.69
14:23.2,11.95,30.69
14:23.3,11.97,30.69
14:23.3,11.84,9.81
14:23.3,12.04,9.81
14:23.3,12.13,9.81
14:23.3,12.07,9.81
14:23.4,12.13,9.25
14:23.4,12.02,9.25
14:23.4,11.98,9.25
14:23.4,12.06,9.25
14:23.4,12.13,8.19
14:23.5,12.1,8.19
14:23.5,12.13,8.19
14:23.5,12.1,8.19
14:23.5,12.08,7.56
14:23.5,11.5,7.56
14:23.6,10.07,7.56
14:23.6,11.13,7.56
14:23.6,11.28,5.69
14:23.6,11.33,5.69
14:23.6,11.5,5.69
14:23.7,11.57,5.69
14:23.7,11.72,46.69
14:23.7,11.78,46.69
14:23.7,11.77,46.69
14:23.7,11.09,46.69
14:23.8,11.25,27.31
14:23.8,11.91,27.31
14:23.8,11.24,27.31
14:23.8,11.3,27.31
14:23.8,11.66,27.31
14:23.9,11.36,42
14:23.9,11.23,42
14:23.9,11.04,42
14:23.9,10.59,42
14:23.9,10.34,35.56
14:24.0,10.44,35.56
14:24.0,9.37,35.56
14:24.0,8.73,35.56
14:24.0,9.54,65.44
14:24.0,9.58,65.44
14:24.1,9.63,65.44
14:24.1,9.59,65.44
14:24.1,10.26,161.5
14:24.1,10.65,161.5
14:24.1,10.48,161.5
14:24.2,11.18,161.5
14:24.2,11.53,131.63
14:24.2,11.65,131.63
14:24.2,11.7,83.38
14:24.2,12.21,83.38
14:24.3,12.11,83.38
14:24.3,11.28,83.38
14:24.3,11.25,83.38
14:24.3,11.39,27
14:24.3,11.58,27
14:24.4,12.2,27
14:24.4,11.43,27
14:24.4,11.89,76.75
14:24.4,11.96,76.75
14:24.4,11.2,76.75
14:24.5,12.02,76.75
14:24.5,11.11,70.06
14:24.5,11.76,70.06
14:24.5,11.94,70.06
14:24.5,11.74,70.06
14:24.6,11.68,24.94
14:24.6,11.68,24.94
14:24.6,11.6,24.94
14:24.6,11.62,24.94
14:24.6,11.69,29.81
14:24.7,11.74,29.81
14:24.7,11.67,29.81
14:24.7,11.74,29.81
14:24.7,11.75,27.81
14:24.7,11.75,27.81
14:24.8,11.63,27.81
14:24.8,11.69,27.81
14:24.8,11.88,27.81
14:24.8,12.09,23.94
14:24.8,12,23.94
14:24.9,11.87,23.94
14:24.9,11.78,23.94
14:24.9,11.82,24.69
14:24.9,11.81,24.69
14:24.9,11.87,24.69
14:25.0,11.96,24.69
14:25.0,12.01,19.13
14:25.0,12.11,19.13
14:25.0,12.13,19.13
14:25.0,12.21,19.13
14:25.1,12.2,14.56
14:25.1,12.24,14.56
14:25.1,12.24,14.56
14:25.1,12.22,14.56
14:25.1,12.23,6.13
14:25.2,12.23,6.13
14:25.2,12.23,6.13
14:25.2,12.2,6.13
14:25.2,12.22,3.13
14:25.2,12.2,3.13
14:25.3,12.18,3.5
14:25.3,12.18,3.5
14:25.3,12.2,3.5
14:25.3,12.2,3.5
14:25.3,12.21,4.56
14:25.4,12.21,4.56
14:25.4,12.2,4.56
14:25.4,12.18,4.56
14:25.4,12.22,4.56
14:25.4,12.21,4.06
14:25.5,12.21,4.06
14:25.5,12.23,4.06
14:25.5,12.23,4.06
14:25.5,12.2,4.06
14:25.5,12.21,4.06
14:25.6,12.2,4.06
14:25.6,12.21,4.06
14:25.6,12.21,4
14:25.6,12.21,4
14:25.6,12.21,4
14:25.7,12.21,4
14:25.7,12.23,4.44
14:25.7,12.2,4.44
14:25.7,12.21,4.44
14:25.7,12.23,4.44
14:25.8,12.21,4.31
14:25.8,12.2,4.31
14:25.8,12.2,4.31
14:25.8,12.2,4.31
14:25.8,12.2,4.31
14:25.9,12.21,5.75
14:25.9,12.21,5.75
14:25.9,12.2,5.75
14:25.9,12.21,5.75
14:25.9,12.21,6.88
14:26.0,12.21,6.88
14:26.0,12.22,6.88
14:26.0,12.22,6.88
14:26.0,12.22,5.56
14:26.0,12.21,5.56
14:26.1,12.2,5.56
14:26.1,12.23,5.56
14:26.1,12.22,5.31
14:26.1,12.23,5.31
14:26.1,12.23,5.31
14:26.2,12.23,5.31
14:26.2,12.24,4.69
14:26.2,12.23,4.69
14:26.2,12.25,5.06
14:26.2,12.15,5.06
14:26.3,12.04,5.06
14:26.3,12.23,5.06
14:26.3,12.11,3.5
14:26.3,12.09,3.5
14:26.3,12.12,3.5
14:26.4,12.08,3.5
14:26.4,11.99,3.5
14:26.4,11.99,5.5
14:26.4,12.09,5.5
14:26.4,12.05,5.5
14:26.5,12.09,5.5
14:26.5,12.11,10.19
14:26.5,12.1,10.19
14:26.5,12.11,10.19
14:26.5,12.03,10.19
14:26.6,12.1,10.44
14:26.6,12.13,10.44
14:26.6,12.14,10.44
14:26.6,12.15,10.44
14:26.6,12.14,10.13
14:26.7,12.18,10.13
14:26.7,12.11,10.13
14:26.7,12.13,10.13
14:26.7,12.13,8.19
14:26.7,12.13,8.19
14:26.8,12.11,8.19
14:26.8,12.13,8.19
14:26.8,12.16,8
14:26.8,12.18,8
14:26.8,12.18,8
14:26.9,12.19,8
14:26.9,12.19,7.88
14:26.9,12.18,7.88
14:26.9,12.19,7.88
14:26.9,12.12,7.88
14:27.0,12.03,7.88
14:27.0,12.05,6.5
14:27.0,11.47,6.5
14:27.0,10.32,6.5
14:27.0,11.21,6.5
14:27.1,11.51,9.75
14:27.1,11.89,9.75
14:27.1,11.7,9.75
14:27.1,12.02,9.75
14:27.1,12.2,62.5
14:27.2,12.24,62.5
14:27.2,12.23,62.5
14:27.2,12.21,62.5
14:27.2,12.25,22.63
14:27.2,12.26,22.63
14:27.3,12.27,5.13
14:27.3,12.26,5.13
14:27.3,12.26,3.31
14:27.3,12.29,3.31
14:27.3,12.28,2.75
14:27.4,12.27,2.75
14:27.4,12.27,2.75
14:27.4,12.29,2.75
14:27.4,12.28,2.75
14:27.4,12.27,2.75
14:27.5,12.29,2.75
14:27.5,12.29,2.75
14:27.5,12.27,2.63
14:27.5,12.29,2.63
14:27.5,12.29,2.63
14:27.6,12.27,2.63
14:27.6,12.29,2.63
14:27.6,12.27,2.63
14:27.6,12.29,2.63
14:27.6,12.29,2.63
14:27.7,12.29,2.63
14:27.7,12.3,2.5
14:27.7,12.27,2.5
14:27.7,12.3,2.5
14:27.7,12.18,2.5
14:27.8,11.77,2.56
14:27.8,11.47,2.56
14:27.8,11.91,2.56
14:27.8,12.15,2.56
14:27.8,12.27,2.56
14:27.9,12.29,13.94
14:27.9,12.27,13.94
14:27.9,12.27,13.94
14:27.9,12.29,3.69
14:27.9,12.28,3.69
14:28.0,12.28,3.69
14:28.0,12.29,3.69
14:28.0,12.29,3.69
14:28.0,12.29,2.56
14:28.0,12.28,2.56
14:28.1,12.07,2.56
14:28.1,11.45,2.56
14:28.1,11.19,2.44
14:28.1,10.66,2.44
14:28.1,10.3,2.44
14:28.2,9.75,2.44
14:28.2,9.67,17.13
14:28.2,8.92,17.13
14:28.2,10.89,92.63
14:28.2,9.43,92.63
14:28.3,10.12,106.06
14:28.3,10.41,106.06
14:28.3,10.88,179.75
14:28.3,11.41,179.75
14:28.3,11.74,179.75
14:28.4,12.04,179.75
14:28.4,12.17,54.06
14:28.4,12.2,54.06
14:28.4,12.19,54.06
14:28.4,12.19,54.06
14:28.5,12.17,54.06
14:28.5,12.18,4.25
14:28.5,12.22,4.25
14:28.5,12.22,4.25
14:28.5,12.21,4.25
14:28.6,12.23,3.44
14:28.6,12.21,3.44
14:28.6,12.24,3.44
14:28.6,12.24,3.44
14:28.6,12.24,2.69
14:28.7,12.24,2.69
14:28.7,12.25,2.69
14:28.7,12.23,2.69
14:28.7,12.24,2.56
14:28.7,12.26,2.56
14:28.8,12.24,2.56
14:28.8,12.25,2.56
14:28.8,12.24,2.63
14:28.8,12.27,2.63
14:28.8,12.26,2.63
14:28.9,12.26,2.63
14:28.9,12.26,2.63
14:28.9,12.27,2.44
14:28.9,12.27,2.44
14:28.9,12.28,2.44
14:29.0,12.25,2.44
14:29.0,12.27,2.56
14:29.0,12.29,2.56
14:29.0,12.24,2.56
14:29.0,12.28,2.56
14:29.1,12.28,2.94
14:29.1,12.29,2.94
14:29.1,12.27,2.94
14:29.1,12.28,2.94
14:29.1,12.27,3.44
14:29.2,12.29,3.44
14:29.2,12.26,3.44
14:29.2,12.27,3.44
14:29.2,12.27,2.56
14:29.2,12.28,2.56
14:29.3,12.27,2.44
14:29.3,12.27,2.44
14:29.3,12.29,2.44
14:29.3,12.28,2.44
14:29.3,12.29,2.81
14:29.4,12.21,2.81
14:29.4,11.63,2.81
14:29.4,11.21,2.81
14:29.4,11.09,2.81
14:29.4,11.34,3.06
14:29.5,11.54,3.06
14:29.5,11.82,3.06
14:29.5,12.13,3.06
14:29.5,12.24,46.44
14:29.5,12.24,46.44
14:29.6,12.25,46.44
14:29.6,12.25,46.44
14:29.6,12.24,3.56
14:29.6,12.24,3.56
14:29.6,12.27,3.56
14:29.7,12.27,3.56
14:29.7,12.26,2.56
14:29.7,12.27,2.56
14:29.7,12.27,2.56
14:29.7,12.27,2.56
14:29.8,12.27,2.75
14:29.8,12.29,2.75
14:29.8,12.29,2.75
14:29.8,12.28,2.75
14:29.8,12.3,3
14:29.9,12.3,3
14:29.9,12.3,3
14:29.9,12.28,3
14:29.9,11.83,3
14:29.9,12.01,2.56
14:30.0,12.12,2.56
14:30.0,12.18,2.56
14:30.0,12.2,2.56
14:30.0,12.18,5.44
14:30.0,12.22,5.44
14:30.1,12.24,5.44
14:30.1,12.23,5.44
14:30.1,12.27,6.56
14:30.1,12.27,6.56
14:30.1,12.26,6.56
14:30.2,12.27,6.56
14:30.2,12.27,4.13
14:30.2,12.26,4.13
14:30.2,12.28,4.13
14:30.2,12.27,4.13
14:30.3,12.27,3.88
14:30.3,12.29,3.88
14:30.3,12.29,3.94
14:30.3,12.3,3.94
14:30.3,12.3,3.94
14:30.4,11.86,3.94
14:30.4,11.77,2.44
14:30.4,11.89,2.44
14:30.4,11.94,2.44
14:30.4,11.74,2.44
14:30.5,11.27,24.56
14:30.5,10.95,24.56
14:30.5,10.7,24.56
14:30.5,10.02,24.56
14:30.5,9.8,24.56
14:30.6,9.53,51.56
14:30.6,9.17,51.56
14:30.6,8.95,51.56
14:30.6,9.17,51.56
14:30.6,9.04,132.31
14:30.7,9.11,132.31
14:30.7,9.25,132.31
14:30.7,9.45,132.31
14:30.7,10.03,160.06
14:30.7,9.97,160.06
14:30.8,9.88,160.06
14:30.8,9.89,160.06
14:30.8,9.58,127.63
14:30.8,9.39,127.63
14:30.8,9.36,127.63
14:30.9,9.45,127.63
14:30.9,9.34,121.63
14:30.9,9.42,121.63
14:30.9,9.36,121.63
14:30.9,9.23,121.63
14:31.0,9.51,141.13
14:31.0,9.77,141.13
14:31.0,9.59,141.13
14:31.0,9.46,141.13
14:31.0,9.31,141.13
14:31.1,9.73,150.69
14:31.1,9.84,150.69
14:31.1,10.03,150.69
14:31.1,10.2,150.69
14:31.1,10.19,142.63
14:31.2,10.5,142.63
14:31.2,10.51,142.63
14:31.2,10.6,142.63
14:31.2,10.73,107.56
14:31.2,10.69,107.56
14:31.3,10.58,107.56
14:31.3,10.82,107.56
14:31.3,11.07,95.19
14:31.3,11.16,95.19
14:31.3,10.94,95.19
14:31.4,11.02,95.19
14:31.4,11.08,84.06
14:31.4,11.23,84.06
14:31.4,11.25,52.94
14:31.4,11.24,52.94
14:31.5,11.23,52.94
14:31.5,11.2,52.94
14:31.5,11.23,48.63
14:31.5,11.39,48.63
14:31.5,11.51,48.63
14:31.6,11.7,48.63
14:31.6,11.88,48.63
14:31.6,12.12,38.44
14:31.6,12.28,38.44
14:31.6,12.61,38.44
14:31.7,12.64,38.44
14:31.7,12.7,17.06
14:31.7,11.31,17.06
14:31.7,10.95,17.06
14:31.7,11.77,17.06
14:31.8,12,4.38
14:31.8,12,4.38
14:31.8,12.19,4.38
14:31.8,12.06,4.38
14:31.8,12.04,21.06
14:31.9,12.1,21.06
14:31.9,12.05,21.06
14:31.9,12.08,21.06
14:31.9,12.09,21.06
14:31.9,11.98,8.19
14:32.0,11.91,8.19
14:32.0,11.64,8.19
14:32.0,11.43,8.19
14:32.0,11.14,9.63
14:32.0,10.71,9.63
14:32.1,10.52,9.63
14:32.1,9.93,9.63
14:32.1,10.04,28.31
14:32.1,10.33,28.31
14:32.1,10.01,112.63
14:32.2,10.5,112.63
14:32.2,10.63,112.63
14:32.2,10.21,112.63
14:32.2,10.29,117.06
14:32.2,9.8,117.06
14:32.3,10.05,117.06
14:32.3,9.5,117.06
14:32.3,9.49,117.06
14:32.3,9.43,117.75
14:32.3,9.89,117.75
14:32.4,10.38,117.75
14:32.4,10.99,117.75
14:32.4,11.28,129.13
14:32.4,10.24,129.13
14:32.4,10.8,129.13
14:32.5,11.15,129.13
14:32.5,10.32,49.69
14:32.5,10.19,49.69
14:32.5,10.47,49.69
14:32.5,10.77,49.69
14:32.6,10.23,44.94
14:32.6,10.65,44.94
14:32.6,11.17,44.94
14:32.6,10.76,44.94
14:32.6,10.02,65.56
14:32.7,10.14,65.56
14:32.7,10.01,65.56
14:32.7,10.22,65.56
14:32.7,9.76,65.56
14:32.7,9.72,118.88
14:32.8,9.83,118.88
14:32.8,9.69,118.88
14:32.8,10.2,118.88
14:32.8,10.81,108.63
14:32.8,11.07,108.63
14:32.9,10.32,108.63
14:32.9,9.89,108.63
14:32.9,10.08,123.31
14:32.9,10.58,123.31
14:32.9,10.93,123.31
14:33.0,9.79,123.31
14:33.0,9.57,95.38
14:33.0,10.25,95.38
14:33.0,9.51,95.38
14:33.0,9.46,95.38
14:33.1,10.39,65.19
14:33.1,10.57,65.19
14:33.1,10.68,140.56
14:33.1,10.8,140.56
14:33.1,10.9,140.56
14:33.2,10.84,140.56
14:33.2,10.93,71.06
14:33.2,10.91,71.06
14:33.2,10.96,71.06
14:33.2,10.72,71.06
14:33.3,10.14,71.06
14:33.3,9.34,48
14:33.3,9.52,48
14:33.3,10.27,48
14:33.3,10.36,48
14:33.4,10.57,97.94
14:33.4,10.45,97.94
14:33.4,10.15,97.94
14:33.4,9.71,97.94
14:33.4,9.69,74.56
14:33.5,9.75,74.56
14:33.5,10.08,74.56
14:33.5,10.46,74.56
14:33.5,10.71,140.44
14:33.5,10.38,140.44
14:33.6,9.88,140.44
14:33.6,9.75,140.44
14:33.6,10.16,79.06
14:33.6,10.19,79.06
14:33.6,9.82,79.06
14:33.7,10,79.06
14:33.7,10.19,79.06
14:33.7,10.36,113.19
14:33.7,10.33,113.19
14:33.7,10.43,113.19
14:33.8,10.57,113.19
14:33.8,10.35,107.75
14:33.8,10.53,107.75
14:33.8,10.72,107.75
14:33.8,10.67,107.75
14:33.9,10.69,80.19
14:33.9,10.82,80.19
14:33.9,10.84,80.19
14:33.9,10.82,80.19
14:33.9,10.9,70.88
14:34.0,11.12,70.88
14:34.0,11.26,70.88
14:34.0,11.11,70.88
14:34.0,10.96,60.38
14:34.0,10.93,60.38
14:34.1,11.21,44.13
14:34.1,11.21,44.13
14:34.1,11.28,44.13
14:34.1,11.63,44.13
14:34.1,11.5,45.25
14:34.2,11.72,45.25
14:34.2,11.89,45.25
14:34.2,11.89,45.25
14:34.2,11.8,45.25
14:34.2,11.9,30.69
14:34.3,11.88,30.69
14:34.3,11.69,30.69
14:34.3,11.78,30.69
14:34.3,11.7,25.81
14:34.3,11.68,25.81
14:34.4,11.62,25.81
14:34.4,11.52,25.81
14:34.4,11.42,23.56
14:34.4,11.2,23.56
14:34.4,11.24,23.56
14:34.5,11.21,23.56
14:34.5,11.15,29.69
14:34.5,11.26,29.69
14:34.5,11.28,29.69
14:34.5,11.17,29.69
14:34.6,11.26,49.31
14:34.6,11.31,49.31
14:34.6,11.57,49.31
14:34.6,11.53,49.31
14:34.6,11.59,42.38
14:34.7,11.71,42.38
14:34.7,11.71,42.38
14:34.7,11.72,42.38
14:34.7,11.59,42.38
14:34.7,11.6,27.19
14:34.8,11.52,27.19
14:34.8,11.56,27.19
14:34.8,11.5,27.19
14:34.8,11.46,24.56
14:34.8,11.36,24.56
14:34.9,11.04,24.56
14:34.9,11.04,24.56
14:34.9,10.99,28.75
14:34.9,10.86,28.75
14:34.9,10.64,29.88
14:35.0,10.75,29.88
14:35.0,10.64,53.44
14:35.0,10.33,53.44
14:35.0,10.04,71.13
14:35.0,10.14,71.13
14:35.1,9.95,71.13
14:35.1,9.9,71.13
14:35.1,9.88,103.88
14:35.1,9.82,103.88
14:35.1,9.69,103.88
14:35.2,9.66,103.88
14:35.2,9.74,103.88
14:35.2,9.87,120.75
14:35.2,9.73,120.75
14:35.2,8.96,120.75
14:35.3,9.12,120.75
14:35.3,9.5,117.38
14:35.3,9.42,117.38
14:35.3,9.34,117.38
14:35.3,9.62,117.38
14:35.4,9.81,143.25
14:35.4,9.69,143.25
14:35.4,9.92,143.25
14:35.4,10.07,143.25
14:35.4,9.96,122.06
14:35.5,9.99,122.06
14:35.5,10.13,122.06
14:35.5,10.14,122.06
14:35.5,10.03,101.88
14:35.5,10.05,101.88
14:35.6,10.11,101.88
14:35.6,10.27,101.88
14:35.6,10.23,101.88
14:35.6,10.18,97.88
14:35.6,10.27,97.88
14:35.7,10.37,97.88
14:35.7,10.36,97.88
14:35.7,10.38,92.25
14:35.7,10.88,92.25
14:35.7,11.15,92.25
14:35.8,11.26,92.25
14:35.8,11.55,81.25
14:35.8,11.26,81.25
14:35.8,11.84,81.25
14:35.8,12.21,81.25
14:35.9,12.14,45.56
14:35.9,12.29,45.56
14:35.9,12.29,45.56
14:35.9,12.19,45.56
14:35.9,12.29,39.13
14:36.0,11.51,39.13
14:36.0,11.09,14.88
14:36.0,12.04,14.88
14:36.0,11.88,24.63
14:36.0,11.97,24.63
14:36.1,11.86,41.31
14:36.1,11.76,41.31
14:36.1,11.62,41.31
14:36.1,11.41,41.31
14:36.1,11.41,18.75
14:36.2,11.34,18.75
14:36.2,11.27,18.75
14:36.2,11.36,18.75
14:36.2,11.46,18.75
14:36.2,11.36,40.44
14:36.3,11.02,40.44
14:36.3,10.77,40.44
14:36.3,10.8,40.44
14:36.3,10.28,36
14:36.3,9.96,36
14:36.4,9.93,36
14:36.4,10.21,36
14:36.4,10.11,75.88
14:36.4,10.03,75.88
14:36.4,10.29,75.88
14:36.5,10.49,75.88
14:36.5,10.62,96.5
14:36.5,10.94,96.5
14:36.5,11.52,96.5
14:36.5,11.69,96.5
14:36.6,11.91,80.25
14:36.6,11.91,80.25
14:36.6,12.05,80.25
14:36.6,11.52,80.25
14:36.6,11.66,22.44
14:36.7,11.6,22.44
14:36.7,10.89,22.44
14:36.7,10.44,22.44
14:36.7,10.01,22.44
14:36.7,9.75,26.5
14:36.8,9.8,26.5
14:36.8,10.16,26.5
14:36.8,10.4,26.5
14:36.8,10.69,90.38
14:36.8,10.54,90.38
14:36.9,10.43,90.38
14:36.9,10.52,90.38
14:36.9,10.64,86.06
14:36.9,10.46,86.06
14:36.9,10.57,86.06
14:37.0,10.7,86.06
14:37.0,10.73,89.75
14:37.0,10.95,89.75
14:37.0,11.36,89.75
14:37.0,11.47,89.75
14:37.1,11.54,80.69
14:37.1,11.48,80.69
14:37.1,11.54,41.5
14:37.1,11.54,41.5
14:37.1,11.47,41.5
14:37.2,11.61,41.5
14:37.2,11.68,27.5
14:37.2,11.72,27.5
14:37.2,11.63,27.5
14:37.2,11.62,27.5
14:37.3,11.43,27.5
14:37.3,11.59,19.81
14:37.3,12.06,19.81
14:37.3,11.93,19.81
14:37.3,12.37,19.81
14:37.4,11.95,31.38
14:37.4,11.65,31.38
14:37.4,11.33,31.38
14:37.4,11.46,31.38
14:37.4,11.76,9.5
14:37.5,11.54,9.5
14:37.5,11.38,9.5
14:37.5,11.28,9.5
14:37.5,11.33,32.38
14:37.5,11.4,32.38
14:37.6,11.5,32.38
14:37.6,11.62,32.38
14:37.6,11.62,47.38
14:37.6,11.88,47.38
14:37.6,11.85,47.38
14:37.7,12.03,47.38
14:37.7,12.23,30.63
14:37.7,12.21,30.63
14:37.7,11.04,30.63
14:37.7,12.06,30.63
14:37.8,12.24,30.63
14:37.8,12.2,4.94
14:37.8,12.14,4.94
14:37.8,12.21,4.94
14:37.8,12.18,4.94
14:37.9,12.15,5.81
14:37.9,12.09,5.81
14:37.9,12.11,5.81
14:37.9,12.11,5.81
14:37.9,12.14,4.88
14:38.0,12.18,4.88
14:38.0,12.21,4.88
14:38.0,12.18,4.88
14:38.0,12.13,7.38
14:38.0,12.11,7.38
14:38.1,12.14,7.38
14:38.1,12.2,7.38
14:38.1,12.18,3.5
14:38.1,12.21,3.5
14:38.1,12.2,3.38
14:38.2,12.12,3.38
14:38.2,12.17,3.38
14:38.2,12.22,3.38
14:38.2,12.23,4.06
14:38.2,11.41,4.06
14:38.3,9.17,4.06
14:38.3,11.52,4.06
14:38.3,11.99,4.06
14:38.3,10.92,2.69
14:38.3,10.08,2.69
14:38.4,9.83,2.69
14:38.4,9.58,2.69
14:38.4,9.43,43.94
14:38.4,9.4,43.94
14:38.4,9.66,43.94
14:38.5,9.88,43.94
14:38.5,9.95,124.75
14:38.5,10.04,124.75
14:38.5,10.25,124.75
14:38.5,10.12,124.75
14:38.6,10.19,121.25
14:38.6,9.77,121.25
14:38.6,9.8,121.25
14:38.6,9.56,121.25
14:38.6,9.81,103.94
14:38.7,9.86,103.94
14:38.7,9.91,103.94
14:38.7,9.98,103.94
14:38.7,10.08,119.31
14:38.7,10.28,119.31
14:38.8,10.23,119.31
14:38.8,10.34,119.31
14:38.8,10.5,119.31
14:38.8,10.49,112.13
14:38.8,10.8,112.13
14:38.9,11.14,112.13
14:38.9,11.18,112.13
14:38.9,11.31,88.5
14:38.9,11.41,88.5
14:38.9,11.45,88.5
14:39.0,11.36,88.5
14:39.0,11.43,43.63
14:39.0,11.52,43.63
14:39.0,11.61,43.63
14:39.0,11.62,43.63
14:39.1,11.55,33.13
14:39.1,11.66,33.13
14:39.1,11.67,25.13
14:39.1,11.68,25.13
14:39.1,11.77,25.13
14:39.2,11.78,25.13
14:39.2,11.66,22.63
14:39.2,11.43,22.63
14:39.2,11.59,22.63
14:39.2,11.66,22.63
14:39.3,11.49,25.13
14:39.3,11.58,25.13
14:39.3,11.75,25.13
14:39.3,11.8,25.13
14:39.3,11.62,25.13
14:39.4,11.64,29.88
14:39.4,11.59,29.88
14:39.4,11.64,29.88
14:39.4,11.34,29.88
14:39.4,11.38,29.69
14:39.5,11.48,29.69
14:39.5,11.41,29.69
14:39.5,11.36,29.69
14:39.5,11.41,41.25
14:39.5,11.45,41.25
14:39.6,11.33,41.25
14:39.6,10.94,41.25
14:39.6,11.04,39.69
14:39.6,11.3,39.69
14:39.6,11.46,39.69
14:39.7,11.53,39.69
14:39.7,11.45,67.13
14:39.7,11.49,67.13
14:39.7,11.5,67.13
14:39.7,11.49,67.13
14:39.8,11.45,37
14:39.8,11.18,37
14:39.8,11.29,37
14:39.8,11.41,37
14:39.8,11.59,37
14:39.9,11.62,28.19
14:39.9,11.5,28.19
14:39.9,11.44,28.19
14:39.9,11.44,28.19
14:39.9,11.39,31.75
14:40.0,11.42,31.75
14:40.0,11.41,31.75
14:40.0,11.43,31.75
14:40.0,11.48,33.5
14:40.0,11.44,33.5
14:40.1,11.5,33.75
14:40.1,11.51,33.75
14:40.1,11.45,33.75
14:40.1,11.44,33.75
14:40.1,11.35,34.69
14:40.2,11.39,34.69
14:40.2,11.46,34.69
14:40.2,11.25,34.69
14:40.2,11.31,34.69
14:40.2,12.21,40.31
14:40.3,11.91,40.31
14:40.3,12.41,40.31
14:40.3,12.29,40.31
14:40.3,12.13,25
14:40.3,12.22,25
14:40.4,12.13,25
14:40.4,12.13,25
14:40.4,12.09,5.31
14:40.4,11.95,5.31
14:40.4,11.98,5.31
14:40.5,12.13,5.31
14:40.5,12.13,6.56
14:40.5,11.94,6.56
14:40.5,12.02,6.56
14:40.5,12.03,6.56
14:40.6,11.79,6.56
14:40.6,12,4.63
14:40.6,12,4.63
14:40.6,11.89,4.63
14:40.6,11.8,4.63
14:40.7,11.99,10.31
14:40.7,11.8,10.31
14:40.7,11.79,10.31
14:40.7,11.65,10.31
14:40.7,11.91,6.38
14:40.8,11.66,6.38
14:40.8,8.47,6.38
14:40.8,10.64,6.38
14:40.8,11.01,14.5
14:40.8,10.7,14.5
14:40.9,10.29,14.5
14:40.9,10.87,14.5
14:40.9,11.07,162
14:40.9,11.64,162
14:40.9,11.62,91.56
14:41.0,11.71,91.56
14:41.0,11.58,91.56
14:41.0,11.92,91.56
14:41.0,11.88,91.56
14:41.0,11.9,14.06
14:41.1,11.89,14.06
14:41.1,11.85,14.06
14:41.1,11.58,14.06
14:41.1,11.62,21
14:41.1,11.47,21
14:41.2,11.71,21
14:41.2,11.54,21
14:41.2,11.33,18.13
14:41.2,11.21,18.13
14:41.2,10.84,18.13
14:41.3,10.02,18.13
14:41.3,10.91,22.88
14:41.3,11.26,22.88
14:41.3,11.48,22.88
14:41.3,11.69,22.88
14:41.4,11.59,92.31
14:41.4,11.23,92.31
14:41.4,10.62,92.31
14:41.4,10.4,92.31
14:41.4,10.03,92.31
14:41.5,9.84,20.06
14:41.5,9.6,20.06
14:41.5,9.43,20.06
14:41.5,8.65,20.06
14:41.5,8.53,99.44
14:41.6,8.92,99.44
14:41.6,8.99,99.44
14:41.6,9.12,99.44
14:41.6,9.45,157.75
14:41.6,9.43,157.75
14:41.7,9.57,157.75
14:41.7,10.13,157.75
14:41.7,10.09,160.38
14:41.7,10.11,160.38
14:41.7,10.16,120.69
14:41.8,9.06,120.69
14:41.8,9.4,120.69
14:41.8,9.81,120.69
14:41.8,9.96,117.44
14:41.8,9.59,117.44
14:41.9,9.28,117.44
14:41.9,9.4,117.44
14:41.9,9.59,117.44
14:41.9,9.85,108.25
14:41.9,9.82,108.25
14:42.0,9.68,108.25
14:42.0,9.66,108.25
